Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2004,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2005,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2006,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2007,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2008,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2009,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2010,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2011,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2012,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2013,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2014,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2015,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2016,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2017,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2018,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2019,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
2020,Normal value,Not Available,Compliance with the Basel Convention on hazardous waste and other chemicals,Units,REMA,Annual,National,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Rwanda,Boolean or binary measure,1
