Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,"Number of automated teller machines (ATMs) per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",5.8
2016,Normal value,Not Available,"Number of automated teller machines (ATMs) per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",6.0
2017,Normal value,Not Available,"Number of automated teller machines (ATMs) per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",5.9
2018,Normal value,Not Available,"Number of automated teller machines (ATMs) per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",5.4
2019,Normal value,Not Available,"Number of automated teller machines (ATMs) per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",5.3
2015,Normal value,Not Available,"Number of commercial bank branches per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of commercial bank branches per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",8.2
2016,Normal value,Not Available,"Number of commercial bank branches per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of commercial bank branches per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",8.2
2017,Normal value,Not Available,"Number of commercial bank branches per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of commercial bank branches per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",7.4
2018,Normal value,Not Available,"Number of commercial bank branches per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of commercial bank branches per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",7.4
2019,Normal value,Not Available,"Number of commercial bank branches per 100,000 adults",Units,"BNR, Annual Report",Annual,National,"Number of commercial bank branches per 100,000 adults [8.10.1]",Rwanda,"Per 100,000 population",6.9
