Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Occupation,UNIT_MEASURE,Value
2017,Normal value,Not Available,Average hourly earnings for Managers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Managers,USD,2.7
2018,Normal value,Not Available,Average hourly earnings for Managers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Managers,USD,3.3
2019,Normal value,Not Available,Average hourly earnings for Managers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Managers,USD,3.6
2017,Normal value,Not Available,Average hourly earnings for Managers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Managers,USD,2.4
2018,Normal value,Not Available,Average hourly earnings for Managers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Managers,USD,2.6
2019,Normal value,Not Available,Average hourly earnings for Managers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Managers,USD,2.4
2017,Normal value,Not Available,Average hourly earnings for Professionals,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Professionals,USD,1.6
2018,Normal value,Not Available,Average hourly earnings for Professionals,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Professionals,USD,1.5
2019,Normal value,Not Available,Average hourly earnings for Professionals,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Professionals,USD,1.4
2017,Normal value,Not Available,Average hourly earnings for Professionals,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Professionals,USD,1.0
2018,Normal value,Not Available,Average hourly earnings for Professionals,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Professionals,USD,1.0
2019,Normal value,Not Available,Average hourly earnings for Professionals,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Professionals,USD,1.2
2017,Normal value,Not Available,Average hourly earnings for Technicians and associate professions,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Technicians and associate professionals,USD,1.7
2018,Normal value,Not Available,Average hourly earnings for Technicians and associate professions,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Technicians and associate professionals,USD,2.4
2019,Normal value,Not Available,Average hourly earnings for Technicians and associate professions,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Technicians and associate professionals,USD,1.4
2017,Normal value,Not Available,Average hourly earnings for Technicians and associate professions,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Technicians and associate professionals,USD,1.8
2018,Normal value,Not Available,Average hourly earnings for Technicians and associate professions,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Technicians and associate professionals,USD,1.7
2019,Normal value,Not Available,Average hourly earnings for Technicians and associate professions,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Technicians and associate professionals,USD,1.7
2017,Normal value,Not Available,Average hourly earnings for Clerical Support workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Clerical support workers,USD,1.0
2018,Normal value,Not Available,Average hourly earnings for Clerical Support workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Clerical support workers,USD,1.2
2019,Normal value,Not Available,Average hourly earnings for Clerical Support workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Clerical support workers,USD,1.1
2017,Normal value,Not Available,Average hourly earnings for Clerical Support workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Clerical support workers,USD,1.1
2018,Normal value,Not Available,Average hourly earnings for Clerical Support workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Clerical support workers,USD,1.3
2019,Normal value,Not Available,Average hourly earnings for Clerical Support workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Clerical support workers,USD,1.2
2017,Normal value,Not Available,Average hourly earnings for Service and sales workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Service and sales workers,USD,0.3
2018,Normal value,Not Available,Average hourly earnings for Service and sales workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Service and sales workers,USD,0.4
2019,Normal value,Not Available,Average hourly earnings for Service and sales workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Male,,Service and sales workers,USD,0.4
2017,Normal value,Not Available,Average hourly earnings for Service and sales workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Service and sales workers,USD,0.5
2018,Normal value,Not Available,Average hourly earnings for Service and sales workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Service and sales workers,USD,0.6
2019,Normal value,Not Available,Average hourly earnings for Service and sales workers,Units,"LFS, NISR",Annual,National,Average hourly earnings [8.5.1],Rwanda,Female,,Service and sales workers,USD,0.5
