Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,RW,PT,28.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,RW,PT,30.4
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,23,PT,48.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,23,PT,55.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,36,PT,48.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,36,PT,53.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,25,PT,45.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,25,PT,50.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,37,PT,44.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,37,PT,48.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,54,PT,52.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,54,PT,45.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,53,PT,43.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,53,PT,43.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,43,PT,30.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,43,PT,36.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,52,PT,41.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,52,PT,35.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,32,PT,20.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,32,PT,30.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,31,PT,26.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,31,PT,30.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,34,PT,22.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,34,PT,28.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,45,PT,20.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,45,PT,28.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,27,PT,21.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,27,PT,26.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,41,PT,21.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,41,PT,26.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,42,PT,21.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,42,PT,25.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,24,PT,20.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,24,PT,25.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,35,PT,17.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,35,PT,22.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,11,PT,20.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,11,PT,21.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,44,PT,14.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,44,PT,20.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,12,PT,17.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,12,PT,20.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,33,PT,10.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,33,PT,18.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,57,PT,17.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,57,PT,18.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,55,PT,21.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,55,PT,17.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,26,PT,11.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,26,PT,14.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,28,PT,12.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,28,PT,14.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,51,PT,8.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,51,PT,14.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,21,PT,11.0
2019,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,21,PT,13.0
2009,A,_X,Forest area as a proportion of total land area,0,MoE,A,N,AG_LND_FRST,22,PT,12.0
