Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Copying or moving a file or a folder,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTCMFL,PT,4.6
2020,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Copying or moving a file or a folder,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTCMFL,PT,5.2
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills  - ICT Skill: Copying or moving a file or a folder,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,U,SKILL_ICTCMFL,PT,12.6
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills  - ICT Skill: Copying or moving a file or a folder,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,R,SKILL_ICTCMFL,PT,2.3
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Using Copy and Paste,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTCPT,PT,4.3
2020,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Using Copy and Paste,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTCPT,PT,7.3
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Using Copy and Paste,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,U,SKILL_ICTCPT,PT,11.7
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Using Copy and Paste,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,R,SKILL_ICTCPT,PT,2.2
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Sending e-mails with attached files,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTATCH,PT,2.8
2020,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Sending e-mails with attached files,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTATCH,PT,3.8
